Date,Time,Event,Passes,Price,Venue
,1:30 pm-3 pm,1:30 pm-3 pm: WORKSHOP - “Milonga con Fantasía” -,,,
,1-10 pm,1-10 pm,,,
,4:45-6 pm,"4:45-6 pm: WORKSHOP - “Yeites Milongueros."" - Secrets and",,,
,6:15-7:45 pm,6:15-7:45 pm: LECTURE / CONVERSATION - TANGO &,,,
"Friday, BegPass, MCPL+, C+L",8-9 pm,"8-9 pm: GREG DIMIT MEMORIAL CONCERT - Juan Villarreal,",,,
"FRIDAY, MAY 22",9:30 pm-3 am,9:30 pm-3 am: MILONGA with DJ Maria Valentina and LIVE,,,
"FRIDAY, MAY 22",12-1:15 pm,12-1:15 pm: TECHNIQUE WORKSHOP -  A class dedicated to,,,
"FRIDAY, MAY 22",12-1:15 pm,12-1:15 pm: BEGINNER TRACK - Class #2 of 4: The,,,
"FRIDAY, MAY 22",,Dynamic Embrace & Growing Your Tango Vocabulary -,,,
"FRIDAY, MAY 22",11:30 am-10 pm,11:30 am-10 pm,,,
"FRIDAY, MAY 22",1:30-2:45 pm,1:30-2:45 pm: SEMINAR: CONSCIOUS IMPROVISATION IN,,,
"FRIDAY, MAY 22",,TANGO - Class #1 of 3: Structure and Fundamental Elements -,,,
"FRIDAY, MAY 22",1:30-2:45 pm,"1:30-2:45 pm: WORKSHOP: Vals - Do Less, Dance More.",,,
"FRIDAY, MAY 22",3-4:15 pm,3-4:15 pm: SEMINAR: REFERENCES FOR MUSICAL,,,
"FRIDAY, MAY 22",3-4:15 pm,3-4:15 pm: WORKSHOP: Turns & Direction Changes -,,,
"FRIDAY, MAY 22",,Managing the Dance Floor in a Creative and Dynamic,,,
"FRIDAY, MAY 22",4:30-5:30 pm,"4:30-5:30 pm: WORKSHOP  - “Yeites Milongueros."" - Secrets",,,
"FRIDAY, MAY 22",4:30-5:45 pm,4:30-5:45 pm: WORKSHOP: Argentine Folkloric Music,,,
"FRIDAY, MAY 22",,"that characterizes them. - Matias, Juan, Pato & Amelia",,,
"SATURDAY, MAY 23",6-7:45 pm,6-7:45 pm: PRACTICA featuring music from Bochinche,,,
"SATURDAY, MAY 23",8-9 pm,8-9 pm: CONCERT -  Pianist Emiliano Messiez & Vocalist Juan,,,
"SATURDAY, MAY 23",,"Augustynowicz and Reiner Ams. Passes: ALL, EBS, Friday,","ALL, EBS, Friday,",,
"SATURDAY, MAY 23",9:30 pm-4 am,9:30 pm-4 am: MILONGA with DJ Gabriel Gaumond.  LIVE MUSIC,,,
"SATURDAY, MAY 23",12-1:15 pm,12-1:15 pm: TECHNIQUE WORKSHOP - Technique for the,,,
"SATURDAY, MAY 23",12-1:15 pm,12-1:15 pm: BEGINNER TRACK - Class #3 of 4:,,,
"SATURDAY, MAY 23",11:30 am-10 pm,11:30 am-10 pm,,,
"SATURDAY, MAY 23",1:30-2:45 pm,1:30-2:45 pm: SEMINAR: CONSCIOUS IMPROVISATION IN,,,
"SATURDAY, MAY 23",1:30-2:45 pm,1:30-2:45 pm: WORKSHOP: The Secret to a Happy Life:,,,
