"Pass or Activity Name","What It Includes","Code","Early Bird (By 4/1)","Pre-Registration (By 5/13)","At the door"
"All Access Pass","All festival activities.","ALL","$600","$650","$700"
"Everything But Seminars Pass","All activities, except those labeled 'Seminar.'","EBS","$500","$550","$600"
"Seminar on Conscious Improvisation with Rino & Graziella","The three-class seminar on Conscious Improvisation, taught by Rino & Graziella.","ImpSem","$140","$150","$160"
"Seminar on References for Musical Interpretation with Octavio & Carolina","The four-class seminar on Musical Interpretation taught by Octavio & Carolina.","MusSem","$180","$195","$210"
"Milongas, Practicas, Concerts, Lectures + 4 Workshops Pass","All milongas, practicas, concerts and lectures, plus choice of 4 workshops.","MPCL+","$400","$450","$500"
"Milongas & Practicas Pass","All 4 milongas and 3 practicas.","M&P","$220","$240","$260"
"Concerts & Lectures Pass","All concerts and lectures.","C&L","$170","$180","$190"
"Beginner Pass","Four beginner workshops, plus milongas, practicas, concerts, lectures and some additional workshops.","BegPass","$160","$180","$200"
"Beginner Track","Four beginner workshops.","BegTrack","$100","$120","$140"
"Friday Pass","All Friday activities.","Friday","$170","$180","$190"
"Saturday Pass","All Saturday activities EXCEPT seminars.","Saturday","$180","$190","$200"
"Sunday Pass","All Sunday activities EXCEPT seminars.","Sunday","$180","$190","$200"
"Monday Pass","All Monday activities EXCEPT seminars.","Monday","$170","$180","$190"
"Single workshop","Any single workshop, EXCEPT seminar sessions and beginner workshops.","","$45","$50","$55"
"Single beginner workshop","Any beginner workshop.","","$35","$40","$45"
"Single practica","Any practica.","","$25","$27","$30"
"Single concert","Any concert.","","$40","$45","$50"
"Single lecture","Any lecture.","","$30","$35","$40"
"Single milonga (limited number available)","Any milonga.","","$65","$65","$70"
